train_rank,arm,max_iterations,populations,population_size,max_size,parsimony,n_fits,median_train_r2,median_heldout_r2,max_heldout_r2,n_heldout_ge_06
40,it700_p60_ps30_ms18_par01_unone_bdiv,700,60,30,18,0.1,18,0.76746,0.129217,0.96695,6
41,it1400_p60_ps60_ms18_par08_unone_bdiv,1400,60,60,18,0.8,18,0.763484,0.453775,0.974877,6
42,it1400_p60_ps30_ms22_par30_unone_bdiv,1400,60,30,22,3.0,18,0.762461,0.148993,0.967974,6
43,it1400_p30_ps30_ms18_par30_unone_bdiv,1400,30,30,18,3.0,18,0.761122,0.250548,0.983298,6
44,it700_p30_ps30_ms18_par30_unone_bdiv,700,30,30,18,3.0,18,0.761122,0.15433,0.983298,6
45,it700_p60_ps60_ms18_par08_unone_bdiv,700,60,60,18,0.8,18,0.759017,0.432443,0.974877,6
46,it700_p60_ps30_ms22_par08_unone_bdiv,700,60,30,22,0.8,18,0.751694,0.023198,0.924589,5
47,it700_p30_ps60_ms26_par01_unone_bdiv,700,30,60,26,0.1,18,0.735695,0.363736,0.969541,8
48,it700_p60_ps30_ms22_par30_unone_bdiv,700,60,30,22,3.0,18,0.727744,0.459228,0.967974,8
49,it1400_p30_ps60_ms18_par30_unone_bdiv,1400,30,60,18,3.0,18,0.707304,0.367791,0.9824,8
50,it1400_p30_ps60_ms22_par30_unone_bdiv,1400,30,60,22,3.0,18,0.70567,0.320653,0.933719,5
51,it700_p30_ps60_ms18_par08_unone_bdiv,700,30,60,18,0.8,18,0.703958,0.2581,0.91531,5
52,it700_p30_ps60_ms18_par30_unone_bdiv,700,30,60,18,3.0,18,0.670473,0.002536,0.9824,7
53,it1400_p30_ps60_ms18_par01_unone_bdiv,1400,30,60,18,0.1,18,0.659475,0.203433,0.957503,6
54,it1400_p30_ps30_ms26_par30_unone_bdiv,1400,30,30,26,3.0,18,0.652493,0.104066,0.981776,7
55,it700_p30_ps30_ms26_par30_unone_bdiv,700,30,30,26,3.0,18,0.652493,0.104066,0.981776,6
56,it1400_p60_ps60_ms22_par30_unone_bdiv,1400,60,60,22,3.0,18,0.651901,0.434891,0.931874,5
57,it700_p60_ps60_ms22_par30_unone_bdiv,700,60,60,22,3.0,18,0.651901,0.434891,0.931874,6
58,it1400_p30_ps60_ms26_par30_unone_bdiv,1400,30,60,26,3.0,18,0.620423,0.091512,0.961669,3
59,it700_p60_ps60_ms18_par30_unone_bdiv,700,60,60,18,3.0,18,0.609134,0.0,0.89884,5
60,it700_p30_ps30_ms18_par01_unone_bdiv,700,30,30,18,0.1,18,0.607529,0.179127,0.794621,5
61,it1400_p30_ps30_ms18_par08_unone_bdiv,1400,30,30,18,0.8,18,0.603727,0.138277,0.944715,6
62,it700_p30_ps60_ms26_par30_unone_bdiv,700,30,60,26,3.0,18,0.594392,0.091512,0.961669,2
63,it700_p30_ps60_ms22_par30_unone_bdiv,700,30,60,22,3.0,18,0.589793,0.320653,0.933719,5
64,it1400_p30_ps30_ms22_par30_unone_bdiv,1400,30,30,22,3.0,18,0.587038,0.190257,0.964246,6
65,it700_p30_ps30_ms22_par30_unone_bdiv,700,30,30,22,3.0,18,0.587038,0.127249,0.964246,6
66,it1400_p30_ps30_ms22_par01_unone_bdiv,1400,30,30,22,0.1,18,0.585117,0.266303,0.92992,6
67,it700_p30_ps30_ms18_par08_unone_bdiv,700,30,30,18,0.8,18,0.549735,0.0,0.938738,5
68,it700_p30_ps30_ms22_par01_unone_bdiv,700,30,30,22,0.1,18,0.541178,0.0,0.944761,5
69,it700_p30_ps60_ms18_par01_unone_bdiv,700,30,60,18,0.1,18,0.534739,0.170399,0.953061,6
70,it1400_p60_ps30_ms18_par30_unone_bdiv,1400,60,30,18,3.0,18,0.524552,0.0,0.865,4
71,it1400_p60_ps60_ms18_par30_unone_bdiv,1400,60,60,18,3.0,18,0.503626,0.0,0.918282,4
72,it700_p60_ps30_ms18_par30_unone_bdiv,700,60,30,18,3.0,18,0.486387,0.0,0.865,3
